中文,原形,词干,副动词-p,否定词干,命令式,否定命令式,将来时-мен,将来时-сен,将来时-сиз,将来时-ал,将来时-биз,将来时-силер,将来时-сиздер,将来时-алар,正在时-мен,正在时-сен,正在时-сиз,正在时-ал,正在时-биз,正在时-силер,正在时-сиздер,正在时-алар,过去时-мен,过去时-сен,过去时-сиз,过去时-ал,过去时-биз,过去时-силер,过去时-сиздер,过去时-алар,过去否定-мен,过去否定-сен,过去否定-сиз,过去否定-ал,过去否定-биз,过去否定-силер,过去否定-сиздер,过去否定-алар,将来否定-мен,将来否定-сен,将来否定-сиз,将来否定-ал,将来否定-биз,将来否定-силер,将来否定-сиздер,将来否定-алар
哭,ыйлоо,ыйла,ыйлап,ыйлаба,ыйла,ыйлаба,ыйлаймын,ыйлайсың,ыйлайсыз,ыйлайт,ыйлайбыз,ыйлайсыңар,ыйлайсыздар,ыйлашат,ыйлап жатамын,ыйлап жатасың,ыйлап жатасыз,ыйлап жатат,ыйлап жатабыз,ыйлап жатасыңар,ыйлап жатасыздар,ыйлап жатышат,ыйладым,ыйладың,ыйладыңыз,ыйлады,ыйладык,ыйладыңар,ыйладыңыздар,ыйлашты,ыйлабадым,ыйлабадың,ыйлабадыңыз,ыйлабады,ыйлабадык,ыйлабадыңар,ыйлабадыңыздар,ыйлабашты,ыйлабаймын,ыйлабайсың,ыйлабайсыз,ыйлабайт,ыйлабайбыз,ыйлабайсыңар,ыйлабайсыздар,ыйлашпайт
喝,ичүү,ич,ичип,ичпе,ич,ичпе,ичемин,ичесиң,ичесиз,ичет,ичебиз,ичесиңер,ичесиздер,ичишет,ичип жатамын,ичип жатасың,ичип жатасыз,ичип жатат,ичип жатабыз,ичип жатасыңар,ичип жатасыздар,ичип жатышат,ичтим,ичтиң,ичтиңиз,ичти,ичтик,ичтиңер,ичтиңиздер,ичишти,ичпедим,ичпедиң,ичпедиңиз,ичпеди,ичпедик,ичпедиңер,ичпедиңиздер,ичпешти,ичпеймин,ичпейсиң,ичпейсиз,ичпейт,ичпейбиз,ичпейсиңер,ичпейсиздер,ичишпейт
吃,жеш,же,жеп,жебе,же,жебе,жеймин,жейсиң,жейсиз,жейт,жейбиз,жейсиңер,жейсиздер,жешет,жеп жатамын,жеп жатасың,жеп жатасыз,жеп жатат,жеп жатабыз,жеп жатасыңар,жеп жатасыздар,жеп жатышат,жедим,жедиң,жедиңиз,жеди,жедик,жедиңер,жедиңиздер,жешти,жебедим,жебедиң,жебедиңиз,жебеди,жебедик,жебедиңер,жебедиңиздер,жебешти,жебеймин,жебейсиң,жебейсиз,жебейт,жебейбиз,жебейсиңер,жебейсиздер,жешпейт
学习；学会,үйрөнүү,үйрөн,үйрөнүп,үйрөнбө,үйрөн,үйрөнбө,үйрөнөмүн,үйрөнөсүң,үйрөнөсүз,үйрөнөт,үйрөнөбүз,үйрөнөсүңөр,үйрөнөсүздөр,үйрөнүшөт,үйрөнүп жатамын,үйрөнүп жатасың,үйрөнүп жатасыз,үйрөнүп жатат,үйрөнүп жатабыз,үйрөнүп жатасыңар,үйрөнүп жатасыздар,үйрөнүп жатышат,үйрөндүм,үйрөндүң,үйрөндүңүз,үйрөндү,үйрөндүк,үйрөндүңөр,үйрөндүңүздөр,үйрөнүштү,үйрөнбөдүм,үйрөнбөдүң,үйрөнбөдүңүз,үйрөнбөдү,үйрөнбөдүк,үйрөнбөдүңөр,үйрөнбөдүңүздөр,үйрөнбөштү,үйрөнбөймүн,үйрөнбөйсүң,үйрөнбөйсүз,үйрөнбөйт,үйрөнбөйбүз,үйрөнбөйсүңөр,үйрөнбөйсүздөр,үйрөнүшпөйт
教,үйрөтүү,үйрөт,үйрөтүп,үйрөтпө,үйрөт,үйрөтпө,үйрөтөмүн,үйрөтөсүң,үйрөтөсүз,үйрөтөт,үйрөтөбүз,үйрөтөсүңөр,үйрөтөсүздөр,үйрөтүшөт,үйрөтүп жатамын,үйрөтүп жатасың,үйрөтүп жатасыз,үйрөтүп жатат,үйрөтүп жатабыз,үйрөтүп жатасыңар,үйрөтүп жатасыздар,үйрөтүп жатышат,үйрөттүм,үйрөттүң,үйрөттүңүз,үйрөттү,үйрөттүк,үйрөттүңөр,үйрөттүңүздөр,үйрөтүштү,үйрөтпөдүм,үйрөтпөдүң,үйрөтпөдүңүз,үйрөтпөдү,үйрөтпөдүк,үйрөтпөдүңөр,үйрөтпөдүңүздөр,үйрөтпөштү,үйрөтпөймүн,үйрөтпөйсүң,үйрөтпөйсүз,үйрөтпөйт,үйрөтпөйбүз,үйрөтпөйсүңөр,үйрөтпөйсүздөр,үйрөтүшпөйт
理解,түшүнүү,түшүн,түшүнүп,түшүнбө,түшүн,түшүнбө,түшүнөмүн,түшүнөсүң,түшүнөсүз,түшүнөт,түшүнөбүз,түшүнөсүңөр,түшүнөсүздөр,түшүнүшөт,түшүнүп жатамын,түшүнүп жатасың,түшүнүп жатасыз,түшүнүп жатат,түшүнүп жатабыз,түшүнүп жатасыңар,түшүнүп жатасыздар,түшүнүп жатышат,түшүндүм,түшүндүң,түшүндүңүз,түшүндү,түшүндүк,түшүндүңөр,түшүндүңүздөр,түшүнүштү,түшүнбөдүм,түшүнбөдүң,түшүнбөдүңүз,түшүнбөдү,түшүнбөдүк,түшүнбөдүңөр,түшүнбөдүңүздөр,түшүнбөштү,түшүнбөймүн,түшүнбөйсүң,түшүнбөйсүз,түшүнбөйт,түшүнбөйбүз,түшүнбөйсүңөр,түшүнбөйсүздөр,түшүнүшпөйт
爱；喜欢,сүйүү,сүй,сүйүп,сүйбө,сүй,сүйбө,сүйөмүн,сүйөсүң,сүйөсүз,сүйөт,сүйөбүз,сүйөсүңөр,сүйөсүздөр,сүйүшөт,сүйүп жатамын,сүйүп жатасың,сүйүп жатасыз,сүйүп жатат,сүйүп жатабыз,сүйүп жатасыңар,сүйүп жатасыздар,сүйүп жатышат,сүйдүм,сүйдүң,сүйдүңүз,сүйдү,сүйдүк,сүйдүңөр,сүйдүңүздөр,сүйүштү,сүйбөдүм,сүйбөдүң,сүйбөдүңүз,сүйбөдү,сүйбөдүк,сүйбөдүңөр,сүйбөдүңүздөр,сүйбөштү,сүйбөймүн,сүйбөйсүң,сүйбөйсүз,сүйбөйт,сүйбөйбүз,сүйбөйсүңөр,сүйбөйсүздөр,сүйүшпөйт
打开,ачуу,ач,ачып,ачпа,ач,ачпа,ачамын,ачасың,ачасыз,ачат,ачабыз,ачасыңар,ачасыздар,ачышат,ачып жатамын,ачып жатасың,ачып жатасыз,ачып жатат,ачып жатабыз,ачып жатасыңар,ачып жатасыздар,ачып жатышат,ачтым,ачтың,ачтыңыз,ачты,ачтык,ачтыңар,ачтыңыздар,ачышты,ачпадым,ачпадың,ачпадыңыз,ачпады,ачпадык,ачпадыңар,ачпадыңыздар,ачпашты,ачпаймын,ачпайсың,ачпайсыз,ачпайт,ачпайбыз,ачпайсыңар,ачпайсыздар,ачышпайт
关闭,жабуу,жап,жабып,жаппа,жап,жаппа,жабамын,жабасың,жабасыз,жабат,жабабыз,жабасыңар,жабасыздар,жабышат,жабып жатамын,жабып жатасың,жабып жатасыз,жабып жатат,жабып жатабыз,жабып жатасыңар,жабып жатасыздар,жабып жатышат,жаптым,жаптың,жаптыңыз,жапты,жаптык,жаптыңар,жаптыңыздар,жабышты,жаппадым,жаппадың,жаппадыңыз,жаппады,жаппадык,жаппадыңар,жаппадыңыздар,жаппашты,жаппаймын,жаппайсың,жаппайсыз,жаппайт,жаппайбыз,жаппайсыңар,жаппайсыздар,жабышпайт
进入,кирүү,кир,кирип,кирбе,кир,кирбе,киремин,киресиң,киресиз,кирет,киребиз,киресиңер,киресиздер,киришет,кирип жатамын,кирип жатасың,кирип жатасыз,кирип жатат,кирип жатабыз,кирип жатасыңар,кирип жатасыздар,кирип жатышат,кирдим,кирдиң,кирдиңиз,кирди,кирдик,кирдиңер,кирдиңиздер,киришти,кирбедим,кирбедиң,кирбедиңиз,кирбеди,кирбедик,кирбедиңер,кирбедиңиздер,кирбешти,кирбеймин,кирбейсиң,кирбейсиз,кирбейт,кирбейбиз,кирбейсиңер,кирбейсиздер,киришпейт
出去；出来,чыгуу,чык,чыгып,чыкпа,чык,чыкпа,чыгамын,чыгасың,чыгасыз,чыгат,чыгабыз,чыгасыңар,чыгасыздар,чыгышат,чыгып жатамын,чыгып жатасың,чыгып жатасыз,чыгып жатат,чыгып жатабыз,чыгып жатасыңар,чыгып жатасыздар,чыгып жатышат,чыктым,чыктың,чыктыңыз,чыкты,чыктык,чыктыңар,чыктыңыздар,чыгышты,чыкпадым,чыкпадың,чыкпадыңыз,чыкпады,чыкпадык,чыкпадыңар,чыкпадыңыздар,чыкпашты,чыкпаймын,чыкпайсың,чыкпайсыз,чыкпайт,чыкпайбыз,чыкпайсыңар,чыкпайсыздар,чыгышпайт
找到,табуу,тап,табып,таппа,тап,таппа,табамын,табасың,табасыз,табат,табабыз,табасыңар,табасыздар,табышат,табып жатамын,табып жатасың,табып жатасыз,табып жатат,табып жатабыз,табып жатасыңар,табып жатасыздар,табып жатышат,таптым,таптың,таптыңыз,тапты,таптык,таптыңар,таптыңыздар,табышты,таппадым,таппадың,таппадыңыз,таппады,таппадык,таппадыңар,таппадыңыздар,таппашты,таппаймын,таппайсың,таппайсыз,таппайт,таппайбыз,таппайсыңар,таппайсыздар,табышпайт
失去；弄丢,жоготуу,жогот,жоготуп,жоготпо,жогот,жоготпо,жоготомун,жоготосуң,жоготосуз,жоготот,жоготобуз,жоготосуңар,жоготосуздар,жоготушот,жоготуп жатамын,жоготуп жатасың,жоготуп жатасыз,жоготуп жатат,жоготуп жатабыз,жоготуп жатасыңар,жоготуп жатасыздар,жоготуп жатышат,жоготтум,жоготтуң,жоготтуңуз,жоготту,жоготтук,жоготтуңар,жоготтуңуздар,жоготушту,жоготподум,жоготподуң,жоготподуңуз,жоготподу,жоготподук,жоготподуңар,жоготподуңуздар,жоготпошту,жоготпоймун,жоготпойсуң,жоготпойсуз,жоготпойт,жоготпойбуз,жоготпойсуңар,жоготпойсуздар,жоготушпойт
等待,күтүү,күт,күтүп,күтпө,күт,күтпө,күтөмүн,күтөсүң,күтөсүз,күтөт,күтөбүз,күтөсүңөр,күтөсүздөр,күтүшөт,күтүп жатамын,күтүп жатасың,күтүп жатасыз,күтүп жатат,күтүп жатабыз,күтүп жатасыңар,күтүп жатасыздар,күтүп жатышат,күттүм,күттүң,күттүңүз,күттү,күттүк,күттүңөр,күттүңүздөр,күтүштү,күтпөдүм,күтпөдүң,күтпөдүңүз,күтпөдү,күтпөдүк,күтпөдүңөр,күтпөдүңүздөр,күтпөштү,күтпөймүн,күтпөйсүң,күтпөйсүз,күтпөйт,күтпөйбүз,күтпөйсүңөр,күтпөйсүздөр,күтүшпөйт
开始,баштоо,башта,баштап,баштаба,башта,баштаба,баштаймын,баштайсың,баштайсыз,баштайт,баштайбыз,баштайсыңар,баштайсыздар,башташат,баштап жатамын,баштап жатасың,баштап жатасыз,баштап жатат,баштап жатабыз,баштап жатасыңар,баштап жатасыздар,баштап жатышат,баштадым,баштадың,баштадыңыз,баштады,баштадык,баштадыңар,баштадыңыздар,башташты,баштабадым,баштабадың,баштабадыңыз,баштабады,баштабадык,баштабадыңар,баштабадыңыздар,баштабашты,баштабаймын,баштабайсың,баштабайсыз,баштабайт,баштабайбыз,баштабайсыңар,баштабайсыздар,башташпайт
完成；结束,бүтүрүү,бүтүр,бүтүрүп,бүтүрбө,бүтүр,бүтүрбө,бүтүрөмүн,бүтүрөсүң,бүтүрөсүз,бүтүрөт,бүтүрөбүз,бүтүрөсүңөр,бүтүрөсүздөр,бүтүрүшөт,бүтүрүп жатамын,бүтүрүп жатасың,бүтүрүп жатасыз,бүтүрүп жатат,бүтүрүп жатабыз,бүтүрүп жатасыңар,бүтүрүп жатасыздар,бүтүрүп жатышат,бүтүрдүм,бүтүрдүң,бүтүрдүңүз,бүтүрдү,бүтүрдүк,бүтүрдүңөр,бүтүрдүңүздөр,бүтүрүштү,бүтүрбөдүм,бүтүрбөдүң,бүтүрбөдүңүз,бүтүрбөдү,бүтүрбөдүк,бүтүрбөдүңөр,бүтүрбөдүңүздөр,бүтүрбөштү,бүтүрбөймүн,бүтүрбөйсүң,бүтүрбөйсүз,бүтүрбөйт,бүтүрбөйбүз,бүтүрбөйсүңөр,бүтүрбөйсүздөр,бүтүрүшпөйт
